State-gov Bachelors Never-married Adm-clerical White Male <=50K 
Self-emp-not-inc Bachelors Married-civ-spouse Exec-managerial White Male <=50K 
Private HS-grad Divorced Handlers-cleaners White Male <=50K 
Private 11th Married-civ-spouse Handlers-cleaners Black Male <=50K 
Private Bachelors Married-civ-spouse Prof-specialty Black Female <=50K 
Private Masters Married-civ-spouse Exec-managerial White Female <=50K 
Private 9th Married-spouse-absent Other-service Black Female <=50K 
Self-emp-not-inc HS-grad Married-civ-spouse Exec-managerial White Male >50K 
Private Masters Never-married Prof-specialty White Female >50K 
Private Bachelors Married-civ-spouse Exec-managerial White Male >50K 
Private Some-college Married-civ-spouse Exec-managerial Black Male >50K 
State-gov Bachelors Married-civ-spouse Prof-specialty Asian-Pac-Islander Male >50K 
Private Bachelors Never-married Adm-clerical White Female <=50K 
Private Assoc-acdm Never-married Sales Black Male <=50K 
Private Assoc-voc Married-civ-spouse Craft-repair Asian-Pac-Islander Male >50K 
Private 7th-8th Married-civ-spouse Transport-moving Amer-Indian-Eskimo Male <=50K 
Self-emp-not-inc HS-grad Never-married Farming-fishing White Male <=50K 
Private HS-grad Never-married Machine-op-inspct White Male <=50K 
Private 11th Married-civ-spouse Sales White Male <=50K 
Self-emp-not-inc Masters Divorced Exec-managerial White Female >50K 
Private Doctorate Married-civ-spouse Prof-specialty White Male >50K 
Private HS-grad Separated Other-service Black Female <=50K 
Federal-gov 9th Married-civ-spouse Farming-fishing Black Male <=50K 
Private 11th Married-civ-spouse Transport-moving White Male <=50K 
Private HS-grad Divorced Tech-support White Female <=50K 
Local-gov Bachelors Married-civ-spouse Tech-support White Male >50K 
Private HS-grad Never-married Craft-repair White Male <=50K 
Private HS-grad Divorced Exec-managerial White Male <=50K 
Private HS-grad Married-civ-spouse Craft-repair White Male <=50K 
Local-gov Assoc-acdm Never-married Protective-serv White Male <=50K 
Private Some-college Never-married Sales Black Male <=50K 
Private Bachelors Divorced Exec-managerial White Male <=50K 
Federal-gov Some-college Married-civ-spouse Adm-clerical White Male <=50K 
State-gov Some-college Married-civ-spouse Other-service Black Male <=50K 
Private 11th Never-married Machine-op-inspct White Male <=50K 
Private Some-college Never-married Machine-op-inspct White Male <=50K 
Private HS-grad Married-AF-spouse Adm-clerical White Female <=50K 
Private Some-college Married-civ-spouse Sales White Male >50K 
Self-emp-not-inc Assoc-acdm Married-civ-spouse Prof-specialty White Male <=50K 
Private 9th Married-civ-spouse Machine-op-inspct White Male <=50K 
Self-emp-not-inc Bachelors Married-civ-spouse Prof-specialty White Male <=50K 
Private Bachelors Married-civ-spouse Tech-support White Male <=50K 
Private HS-grad Separated Adm-clerical White Female <=50K 
Private HS-grad Never-married Handlers-cleaners White Male <=50K 
Federal-gov Bachelors Married-civ-spouse Prof-specialty Black Male >50K 
Private HS-grad Married-civ-spouse Machine-op-inspct White Male <=50K 
Private Masters Divorced Exec-managerial White Female <=50K 
State-gov Assoc-voc Married-civ-spouse Craft-repair White Male <=50K 
Private Assoc-voc Never-married Prof-specialty White Male <=50K 
Private Some-college Married-civ-spouse Exec-managerial Other Female <=50K 
Private HS-grad Never-married Other-service White Female <=50K 
Private Prof-school Married-civ-spouse Prof-specialty White Female >50K 
Federal-gov Bachelors Divorced Exec-managerial White Male >50K 
Self-emp-inc HS-grad Divorced Exec-managerial White Male <=50K 
Private Some-college Married-civ-spouse Tech-support White Male >50K 
Private 5th-6th Married-civ-spouse Machine-op-inspct White Male <=50K 
Private Assoc-voc Married-civ-spouse Other-service White Male <=50K 
Private HS-grad Married-civ-spouse Adm-clerical White Male <=50K 
Private HS-grad Married-civ-spouse Machine-op-inspct White Male <=50K 
Private Bachelors Married-civ-spouse Sales White Male <=50K 
Private HS-grad Married-civ-spouse Transport-moving White Male <=50K 
Private Doctorate Married-civ-spouse Prof-specialty White Male >50K 
Private Some-college Divorced Tech-support White Male <=50K 
Private HS-grad Married-civ-spouse Craft-repair White Male <=50K 
Private Some-college Divorced Adm-clerical White Female <=50K 
Private HS-grad Married-civ-spouse Adm-clerical White Female >50K 
Self-emp-inc Some-college Married-civ-spouse Exec-managerial White Male >50K 
Private Some-college Never-married Prof-specialty White Male <=50K 
Private Bachelors Separated Sales Black Female <=50K 
Self-emp-not-inc Bachelors Married-civ-spouse Sales White Male >50K 
Private Some-college Never-married Machine-op-inspct White Male <=50K 
Private Some-college Married-civ-spouse Prof-specialty White Male <=50K 
Private HS-grad Never-married Other-service White Male <=50K 
Private Assoc-acdm Married-civ-spouse Adm-clerical White Male <=50K 
Private 11th Never-married Other-service White Female <=50K 
Local-gov 7th-8th Married-civ-spouse Farming-fishing White Male <=50K 
Private HS-grad Never-married Sales White Male <=50K 
Private Bachelors Married-civ-spouse Other-service White Male <=50K 
Private HS-grad Married-civ-spouse Other-service White Female <=50K 
Private HS-grad Married-civ-spouse Sales White Male <=50K 
Private HS-grad Divorced Craft-repair White Female >50K 
Private HS-grad Divorced Sales White Female <=50K 
Local-gov HS-grad Married-civ-spouse Protective-serv White Male >50K 
Private Masters Married-civ-spouse Prof-specialty White Male <=50K 
Private 9th Never-married Sales White Male <=50K 
Federal-gov Doctorate Never-married Prof-specialty White Female >50K 
Private Assoc-voc Married-civ-spouse Prof-specialty White Male <=50K 
Private Some-college Divorced Craft-repair White Female <=50K 
Private Some-college Divorced Machine-op-inspct Black Female <=50K 
Private HS-grad Married-civ-spouse Sales Asian-Pac-Islander Female <=50K 
Local-gov Bachelors Married-civ-spouse Protective-serv White Male >50K 
Local-gov Some-college Never-married Handlers-cleaners White Male <=50K 
Self-emp-not-inc Doctorate Married-civ-spouse Prof-specialty White Male >50K 
Private Some-college Married-civ-spouse Sales White Male >50K 
Private Assoc-acdm Divorced Exec-managerial White Female <=50K 
Federal-gov HS-grad Never-married Other-service Black Male <=50K 
Private Masters Married-civ-spouse Exec-managerial White Male >50K 
Private Bachelors Married-civ-spouse Exec-managerial White Male >50K 
Self-emp-not-inc Masters Never-married Prof-specialty White Female <=50K 
Private Some-college Never-married Tech-support White Female <=50K 
Private HS-grad Never-married Craft-repair White Male <=50K 
Self-emp-inc HS-grad Married-civ-spouse Craft-repair White Male >50K 
Private 11th Never-married Handlers-cleaners White Male <=50K 
Local-gov HS-grad Never-married Adm-clerical White Female <=50K 
Private HS-grad Married-civ-spouse Handlers-cleaners White Male <=50K 
Private Bachelors Never-married Sales White Male <=50K 
Private Prof-school Married-civ-spouse Prof-specialty White Male >50K 
Self-emp-not-inc HS-grad Married-civ-spouse Other-service White Male >50K 
Private Some-college Married-civ-spouse Sales White Female <=50K 
Private HS-grad Never-married Machine-op-inspct White Female <=50K 
Private 9th Married-civ-spouse Handlers-cleaners White Male <=50K 
Self-emp-inc Some-college Married-civ-spouse Sales White Male <=50K 
Local-gov Assoc-voc Married-civ-spouse Craft-repair Black Male >50K 
Private Some-college Married-civ-spouse Sales White Male <=50K 
Private HS-grad Never-married Craft-repair White Male <=50K 
Private Some-college Never-married Other-service White Female <=50K 
Private Bachelors Married-civ-spouse Exec-managerial White Male <=50K 
Private Bachelors Never-married Exec-managerial Black Male <=50K 
State-gov Bachelors Married-civ-spouse Prof-specialty White Male >50K 
Private Some-college Never-married Other-service Black Male <=50K 
Private Bachelors Married-civ-spouse Exec-managerial White Female >50K 
Private Some-college Never-married Adm-clerical White Female <=50K 
Private Assoc-acdm Married-civ-spouse Adm-clerical White Male >50K 
Private Some-college Divorced Craft-repair White Male <=50K 
Private Assoc-acdm Never-married Sales White Female <=50K 
Private HS-grad Never-married Other-service White Female <=50K 
Self-emp-not-inc HS-grad Married-civ-spouse Craft-repair White Male <=50K 
Private Bachelors Married-civ-spouse Sales White Male <=50K 
Private Assoc-acdm Divorced Tech-support Black Female <=50K 
Federal-gov Masters Married-civ-spouse Prof-specialty White Male >50K 
Self-emp-not-inc HS-grad Married-civ-spouse Craft-repair White Male <=50K 
Private Assoc-voc Married-civ-spouse Adm-clerical White Female <=50K 
Private Some-college Never-married Sales White Male <=50K 
Private Some-college Married-civ-spouse Craft-repair Asian-Pac-Islander Male >50K 
Self-emp-inc HS-grad Married-civ-spouse Craft-repair White Male <=50K 
Private Some-college Never-married Sales White Female <=50K 
Private Some-college Never-married Other-service White Male <=50K 
Private Assoc-voc Never-married Prof-specialty White Female >50K 
Private Some-college Never-married Tech-support White Male <=50K 
Private HS-grad Never-married Transport-moving Black Female <=50K 
Private Some-college Married-civ-spouse Other-service White Male <=50K 
Private HS-grad Widowed Other-service White Female <=50K 
Private 11th Married-civ-spouse Craft-repair White Male <=50K 
Local-gov Some-college Divorced Adm-clerical White Female <=50K 
Private HS-grad Never-married Adm-clerical White Female <=50K 
Private Bachelors Never-married Exec-managerial Asian-Pac-Islander Female <=50K 
Private HS-grad Never-married Craft-repair White Male <=50K 
Private HS-grad Married-civ-spouse Craft-repair White Male <=50K 
Private Bachelors Never-married Handlers-cleaners White Male <=50K 
Self-emp-not-inc Some-college Separated Sales Black Male <=50K 
Private HS-grad Divorced Craft-repair White Male <=50K 
Private Bachelors Separated Other-service Black Male <=50K 
Private HS-grad Never-married Other-service White Female <=50K 
Self-emp-inc Masters Divorced Exec-managerial Asian-Pac-Islander Female <=50K 
Private HS-grad Never-married Exec-managerial Asian-Pac-Islander Female <=50K 
Self-emp-not-inc Masters Married-civ-spouse Sales White Male >50K 
Private Some-college Divorced Other-service White Female <=50K 
Federal-gov Assoc-acdm Never-married Exec-managerial White Male <=50K 
State-gov Masters Widowed Protective-serv White Male <=50K 
Private 11th Never-married Handlers-cleaners White Male <=50K 
Local-gov Assoc-voc Widowed Prof-specialty White Female <=50K 
Private HS-grad Never-married Other-service White Male <=50K 
State-gov HS-grad Married-civ-spouse Protective-serv White Male <=50K 
Private Some-college Married-civ-spouse Sales White Male >50K 
Private Bachelors Never-married Craft-repair White Male <=50K 
State-gov Bachelors Married-civ-spouse Prof-specialty White Male >50K 
Private HS-grad Married-spouse-absent Sales White Female <=50K 
Private HS-grad Never-married Craft-repair Black Male <=50K 
Private HS-grad Never-married Handlers-cleaners Black Male <=50K 
Private HS-grad Never-married Other-service White Male <=50K 
Private Bachelors Married-civ-spouse Prof-specialty White Male <=50K 
Local-gov Some-college Married-civ-spouse Exec-managerial Black Male >50K 
Private Some-college Divorced Adm-clerical White Female <=50K 
Private Some-college Never-married Craft-repair Black Male <=50K 
Private 7th-8th Married-civ-spouse Machine-op-inspct White Male >50K 
Federal-gov Some-college Married-civ-spouse Adm-clerical White Male >50K 
Private HS-grad Married-civ-spouse Adm-clerical Black Male <=50K 
Self-emp-not-inc Bachelors Divorced Exec-managerial White Female <=50K 
Private Masters Married-civ-spouse Prof-specialty White Female <=50K 
State-gov Doctorate Married-civ-spouse Prof-specialty White Male >50K 
Private Some-college Divorced Machine-op-inspct Black Female <=50K 
Private Some-college Married-civ-spouse Machine-op-inspct White Male <=50K 
Local-gov Bachelors Married-civ-spouse Craft-repair Black Male <=50K 
Private Some-college Married-civ-spouse Tech-support White Male <=50K 
Federal-gov Bachelors Married-civ-spouse Tech-support White Male <=50K 
Private 5th-6th Married-civ-spouse Transport-moving White Male <=50K 
Private Some-college Divorced Craft-repair White Male <=50K 
Federal-gov Masters Never-married Exec-managerial White Female >50K 
Private Masters Married-civ-spouse Prof-specialty White Male >50K 
Self-emp-not-inc HS-grad Never-married Sales White Male <=50K 
Private Masters Never-married Prof-specialty White Female <=50K 
Private Bachelors Married-civ-spouse Exec-managerial White Male >50K 
Local-gov Some-college Never-married Prof-specialty White Female <=50K 
State-gov HS-grad Divorced Adm-clerical White Female <=50K 
Private 11th Never-married Sales White Female <=50K 
Private Bachelors Married-civ-spouse Other-service Black Male >50K 
Private HS-grad Divorced Craft-repair White Male <=50K 
Self-emp-inc HS-grad Married-civ-spouse Sales White Female >50K 
Private 11th Never-married Sales White Female <=50K 
Local-gov HS-grad Married-civ-spouse Transport-moving Black Male <=50K 
Private HS-grad Married-civ-spouse Craft-repair White Male >50K 
Private Some-college Never-married Sales Amer-Indian-Eskimo Female <=50K 
Private HS-grad Married-civ-spouse Craft-repair Asian-Pac-Islander Male <=50K 
Self-emp-inc 7th-8th Married-civ-spouse Machine-op-inspct White Male >50K 
Private Bachelors Never-married Exec-managerial Black Male >50K 
Private Assoc-acdm Divorced Sales White Female <=50K 
Private Bachelors Married-civ-spouse Sales White Male <=50K 
Private Bachelors Married-civ-spouse Prof-specialty White Male <=50K 
Private 10th Never-married Craft-repair White Male <=50K 
Private Some-college Married-civ-spouse Handlers-cleaners White Male <=50K 
Private HS-grad Never-married Other-service Black Male <=50K 
Private HS-grad Married-civ-spouse Adm-clerical Black Male <=50K 
Local-gov Preschool Never-married Machine-op-inspct White Female <=50K 
Private HS-grad Never-married Sales White Female <=50K 
Self-emp-not-inc HS-grad Married-civ-spouse Farming-fishing White Male <=50K 
Private Assoc-voc Widowed Adm-clerical White Female <=50K 
Private HS-grad Divorced Adm-clerical White Female <=50K 
Private 11th Separated Transport-moving Black Male <=50K 
Private HS-grad Divorced Sales Black Female <=50K 
Private Some-college Never-married Adm-clerical White Male <=50K 
Private Some-college Divorced Craft-repair Other Female <=50K 
Private Prof-school Never-married Prof-specialty White Male >50K 
State-gov HS-grad Married-civ-spouse Other-service White Male <=50K 
State-gov Some-college Never-married Adm-clerical White Female <=50K 
Private Bachelors Married-civ-spouse Exec-managerial White Male >50K 
Local-gov Masters Married-civ-spouse Exec-managerial White Male >50K 
Private HS-grad Never-married Transport-moving White Male <=50K 
Private Bachelors Married-civ-spouse Prof-specialty White Male >50K 
Self-emp-not-inc HS-grad Married-civ-spouse Other-service White Female <=50K 
State-gov Assoc-acdm Married-civ-spouse Protective-serv White Male <=50K 
Private Some-college Divorced Craft-repair White Male <=50K 
Private HS-grad Married-civ-spouse Adm-clerical White Male <=50K 
Private HS-grad Married-civ-spouse Adm-clerical White Male >50K 
Private HS-grad Never-married Other-service White Female <=50K 
Private Assoc-acdm Married-civ-spouse Tech-support White Male >50K 
Private HS-grad Married-civ-spouse Adm-clerical White Male <=50K 
Private Prof-school Married-civ-spouse Prof-specialty White Female >50K 
Private Bachelors Married-civ-spouse Adm-clerical Black Female <=50K 
Local-gov 10th Widowed Other-service Black Female <=50K 
Local-gov Some-college Never-married Adm-clerical White Male <=50K 
Private Some-college Never-married Transport-moving White Male <=50K 
Self-emp-not-inc HS-grad Married-civ-spouse Farming-fishing Asian-Pac-Islander Male >50K 
Private HS-grad Never-married Other-service White Female <=50K 
Private HS-grad Separated Other-service White Female <=50K 
Private Assoc-voc Widowed Exec-managerial White Female <=50K 
Private 7th-8th Divorced Craft-repair White Male <=50K 
Private Bachelors Divorced Prof-specialty White Female <=50K 
Private HS-grad Married-civ-spouse Sales White Male <=50K 
Private 11th Never-married Other-service White Male <=50K 
Private Some-college Married-civ-spouse Sales White Male <=50K 
Private 11th Married-civ-spouse Craft-repair White Male <=50K 
Self-emp-inc Some-college Married-civ-spouse Exec-managerial Asian-Pac-Islander Male >50K 
Private HS-grad Married-civ-spouse Exec-managerial White Male >50K 
Private Bachelors Never-married Prof-specialty White Female <=50K 
Private HS-grad Married-civ-spouse Craft-repair White Female >50K 
Private HS-grad Married-civ-spouse Exec-managerial White Male >50K 
Private 9th Never-married Other-service White Male <=50K 
Self-emp-not-inc Masters Married-civ-spouse Farming-fishing White Male <=50K 
Local-gov Masters Never-married Prof-specialty White Male <=50K 
Private HS-grad Divorced Prof-specialty White Female <=50K 
Private HS-grad Married-civ-spouse Handlers-cleaners Black Male <=50K 
Private Some-college Married-civ-spouse Craft-repair White Male >50K 
Private Some-college Never-married Exec-managerial White Female <=50K 
Private Some-college Never-married Tech-support White Female <=50K 
Private Some-college Married-civ-spouse Machine-op-inspct White Female >50K 
Private Bachelors Never-married Prof-specialty White Female <=50K 
Local-gov Some-college Married-civ-spouse Craft-repair White Male >50K 
Private Assoc-acdm Divorced Sales Black Female <=50K 
Private Bachelors Divorced Prof-specialty White Female <=50K 
